,frequency,chunk_attention
mabo,138,3.6129475843907084
mudrooroo,119,3.551803576930825
kim scott,89,3.2809547051961916
mary,87,3.2024043514055633
kevin,139,2.7590480184412955
elizabeth,72,2.60098777542581
alison ravenscroft,46,2.3058792818444402
xavier herbert,32,2.1659191533104574
brigitta olubas,43,2.1247953216374267
tony simoes da silva,42,2.030033416875522
marcia langton,40,1.8209349823436511
lynda ng,43,1.7193823792107543
john howard,21,1.6648775533605256
oodgeroo,61,1.384251016155041
miller,74,1.3246243980764103
anne brewster,34,1.2576719061239185
kwaymullina,54,0.8193797419232614
jeanine leane,21,0.7845228761556665
deborah bird rose,17,0.7421368827251181
richard flanagan,16,0.7118205868205869
toni morrison,16,0.7001012188083127
homi bhabha,15,0.5607407407407408
amitav ghosh,12,0.46510935881645266
jacques derrida,10,0.377551495345613
bill ashcroft,12,0.37052665107585014
stephen slemon,9,0.3484045584045584
edouard glissant,8,0.29601275917065395
gayatri spivak,5,0.2126051252905473
michel foucault,4,0.13917748917748918
kim scotts,0,0.0
